country,date,CountryCode,latitude,longitude,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
Afghanistan,15/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,16/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,17/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,18/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,19/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,20/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,21/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,22/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,23/02/2020,AF,33.93911,67.709953,0,0,0,0,0
Afghanistan,24/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,25/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,26/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,27/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,28/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,29/02/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,01/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,02/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,03/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,04/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,05/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,06/03/2020,AF,33.93911,67.709953,1,0,1,0,0
Afghanistan,07/03/2020,AF,33.93911,67.709953,4,3,4,0,0
Afghanistan,08/03/2020,AF,33.93911,67.709953,4,0,4,0,0
Afghanistan,09/03/2020,AF,33.93911,67.709953,4,0,4,0,0
Afghanistan,10/03/2020,AF,33.93911,67.709953,5,1,5,0,0
Afghanistan,11/03/2020,AF,33.93911,67.709953,7,2,7,0,0
Afghanistan,12/03/2020,AF,33.93911,67.709953,7,0,7,0,0
Afghanistan,13/03/2020,AF,33.93911,67.709953,7,0,7,0,0
Afghanistan,14/03/2020,AF,33.93911,67.709953,11,4,11,0,0
Afghanistan,15/03/2020,AF,33.93911,67.709953,16,5,15,0,0
Afghanistan,16/03/2020,AF,33.93911,67.709953,21,5,20,0,0
Afghanistan,17/03/2020,AF,33.93911,67.709953,22,1,21,0,0
Afghanistan,18/03/2020,AF,33.93911,67.709953,22,0,21,0,0
Afghanistan,19/03/2020,AF,33.93911,67.709953,22,0,21,0,0
Afghanistan,20/03/2020,AF,33.93911,67.709953,24,2,23,0,0
Afghanistan,21/03/2020,AF,33.93911,67.709953,24,0,23,0,0
Afghanistan,22/03/2020,AF,33.93911,67.709953,40,16,38,1,1
Afghanistan,23/03/2020,AF,33.93911,67.709953,40,0,38,1,0
Afghanistan,24/03/2020,AF,33.93911,67.709953,74,34,72,1,0
Afghanistan,25/03/2020,AF,33.93911,67.709953,84,10,80,2,1
Afghanistan,26/03/2020,AF,33.93911,67.709953,94,10,88,4,2
Afghanistan,27/03/2020,AF,33.93911,67.709953,110,16,104,4,0
Afghanistan,28/03/2020,AF,33.93911,67.709953,110,0,104,4,0
Afghanistan,29/03/2020,AF,33.93911,67.709953,120,10,114,4,0
Afghanistan,30/03/2020,AF,33.93911,67.709953,170,50,164,4,0
Afghanistan,31/03/2020,AF,33.93911,67.709953,174,4,165,4,0
Afghanistan,01/04/2020,AF,33.93911,67.709953,237,63,228,4,0
Afghanistan,02/04/2020,AF,33.93911,67.709953,273,36,257,6,2
Afghanistan,03/04/2020,AF,33.93911,67.709953,281,8,265,6,0
